item,goprice,url
483132,649.99,http://www.microcenter.com/product/483132/ryzen-threadripper-1950x-34-ghz-16-core-tr4-boxed-processor
415203,99.99,http://www.microcenter.com/product/415203/black-performance-2tb-7200rpm-sata-iii-6gb-s-35-internal-hard-drive
482721,179.99,http://www.microcenter.com/product/482721/floe-riing-rgb-360-tt-premium-edition-liquid-cooling-system
